item_id,title,abstract,keywords,subject,relevant_majors
D011,Lý luận Văn học hiện đại,"Trình bày các trường phái lý luận và phê bình văn học thế kỷ XX. Tài liệu thuộc lĩnh vực sư phạm ngữ văn, phù hợp cho sinh viên và người nghiên cứu.","luận, XX., văn, hiện, trường",Lý luận Văn học,"Văn học, Sư phạm Ngữ văn"
D012,Phân tích Dữ liệu với Pandas,"Hướng dẫn sử dụng thư viện Pandas để xử lý và phân tích dữ liệu. Tài liệu thuộc lĩnh vực công nghệ thông tin, phù hợp cho sinh viên và người nghiên cứu.","nghệ, tin, với, thư, phân",Phân tích Dữ liệu,"Công nghệ thông tin, Khoa học dữ liệu, Toán học"
D013,Lý thuyết Xác suất Ứng dụng,"Cung cấp nền tảng xác suất cho giáo dục và nghiên cứu thống kê. Tài liệu thuộc lĩnh vực sư phạm toán, phù hợp cho sinh viên và người nghiên cứu.","kê., Sư, Ứng, thống, phạm",Lý thuyết Xác suất,"Toán học, Sư phạm Toán học, Thống kê, Khoa học dữ liệu"
D014,Phân tích Văn học Việt Nam,"Nghiên cứu các tác phẩm tiêu biểu trong văn học hiện đại và trung đại. Tài liệu thuộc lĩnh vực sư phạm ngữ văn, phù hợp cho sinh viên và người nghiên cứu.","Nghiên, Văn, cứu, các, Phân",Phân tích Văn học Việt Nam,"Văn học, Sư phạm Ngữ văn"
D015,Luật Kinh doanh Căn bản,"Giới thiệu luật doanh nghiệp, hợp đồng thương mại và thuế. Tài liệu thuộc lĩnh vực luật, phù hợp cho sinh viên và người nghiên cứu.","doanh, thiệu, và, luật, bản",Luật Kinh doanh,"Luật, Quản trị Kinh doanh, Kinh tế"
D016,Nguyên lý Kế toán,"Trang bị kiến thức kế toán cơ bản cho sinh viên ngành kinh tế. Tài liệu thuộc lĩnh vực kinh tế, phù hợp cho sinh viên và người nghiên cứu.","thức, cho, toán, bị, tế",Nguyên lý Kế toán,"Kế toán, Kiểm toán, Tài chính Ngân hàng, Quản trị Kinh doanh, Kinh tế"
D017,Phân tích Dữ liệu với Pandas,"Hướng dẫn sử dụng thư viện Pandas để xử lý và phân tích dữ liệu. Tài liệu thuộc lĩnh vực công nghệ thông tin, phù hợp cho sinh viên và người nghiên cứu.","nghệ, Dữ, Pandas, phân, liệu",Phân tích Dữ liệu,"Công nghệ thông tin, Khoa học dữ liệu, Toán học"
D018,Tư pháp Hình sự,"Khám phá quy trình tố tụng hình sự và vai trò của các cơ quan tư pháp. Tài liệu thuộc lĩnh vực luật, phù hợp cho sinh viên và người nghiên cứu.","quy, các, tư, tố",Tư pháp Hình sự,"Luật"
D019,Kinh tế học Hành vi,"Nghiên cứu cách ra quyết định trong bối cảnh phi lý trí. Tài liệu thuộc lĩnh vực kinh tế, phù hợp cho sinh viên và người nghiên cứu.","ra, cách, Hành, cứu, cảnh",Kinh tế học Hành vi,"Kinh tế, Quản trị Kinh doanh, Marketing, Tâm lý học"
D020,Kinh tế học Hành vi,"Nghiên cứu cách ra quyết định trong bối cảnh phi lý trí. Tài liệu thuộc lĩnh vực kinh tế, phù hợp cho sinh viên và người nghiên cứu.","vi, Nghiên, định, học, cứu",Kinh tế học Hành vi,"Kinh tế, Quản trị Kinh doanh, Marketing, Tâm lý học"
D021,Nguyên lý Kế toán,"Trang bị kiến thức kế toán cơ bản cho sinh viên ngành kinh tế. Tài liệu thuộc lĩnh vực kinh tế, phù hợp cho sinh viên và người nghiên cứu.","bản, kế, Kinh, sinh, kinh",Nguyên lý Kế toán,"Kế toán, Kiểm toán, Tài chính Ngân hàng, Quản trị Kinh doanh, Kinh tế"
D022,Tư pháp Hình sự,"Khám phá quy trình tố tụng hình sự và vai trò của các cơ quan tư pháp. Tài liệu thuộc lĩnh vực luật, phù hợp cho sinh viên và người nghiên cứu.","Tư, tụng, trò, tư, phá",Tư pháp Hình sự,"Luật"
D023,Kinh tế học Hành vi,"Nghiên cứu cách ra quyết định trong bối cảnh phi lý trí. Tài liệu thuộc lĩnh vực kinh tế, phù hợp cho sinh viên và người nghiên cứu.","trí., cách, Nghiên, ra, vi",Kinh tế học Hành vi,"Kinh tế, Quản trị Kinh doanh, Marketing, Tâm lý học"
D024,Kinh tế Vi mô Căn bản,"Phân tích hành vi tiêu dùng, sản xuất và cấu trúc thị trường. Tài liệu thuộc lĩnh vực kinh tế, phù hợp cho sinh viên và người nghiên cứu.","xuất, thị, sản, Vi, trường.",Kinh tế Vi mô,"Kinh tế, Quản trị Kinh doanh, Tài chính Ngân hàng, Marketing"
D025,Pháp luật Quốc tế,"Phân tích quan hệ pháp lý giữa các quốc gia và tổ chức quốc tế. Tài liệu thuộc lĩnh vực luật, phù hợp cho sinh viên và người nghiên cứu.","và, tế., luật, quan, lý",Pháp luật Quốc tế,"Luật, Quan hệ Quốc tế, Chính trị học"
D026,Khoa học Môi trường Nhập môn,"Tìm hiểu các vấn đề môi trường và giải pháp bền vững. Tài liệu thuộc lĩnh vực khoa học tự nhiên, phù hợp cho sinh viên và người nghiên cứu.","vững., Nhập, Khoa, nhiên, các",Khoa học Môi trường,"Khoa học tự nhiên, Môi trường"
D027,Pháp luật Quốc tế,"Phân tích quan hệ pháp lý giữa các quốc gia và tổ chức quốc tế. Tài liệu thuộc lĩnh vực luật, phù hợp cho sinh viên và người nghiên cứu.","tế., các, tổ, Phân, chức",Pháp luật Quốc tế,"Luật, Quan hệ Quốc tế, Chính trị học"
D028,Đại số Tuyến tính,"Giới thiệu không gian vector, ma trận và các phép biến đổi tuyến tính. Tài liệu thuộc lĩnh vực sư phạm toán, phù hợp cho sinh viên và người nghiên cứu.","không, và, vector,, tính., trận",Đại số Tuyến tính,"Toán học, Sư phạm Toán học, Công nghệ thông tin, Kỹ thuật"
D029,Phong cách học và Tu từ học,"Khám phá nghệ thuật sử dụng ngôn ngữ trong văn chương và đời sống. Tài liệu thuộc lĩnh vực sư phạm ngữ văn, phù hợp cho sinh viên và người nghiên cứu.","trong, và, Sư, Khám, sống.",Phong cách học và Tu từ học,"Sư phạm Ngữ văn, Ngôn ngữ học, Văn học"
D030,Lý luận Văn học hiện đại,"Trình bày các trường phái lý luận và phê bình văn học thế kỷ XX. Tài liệu thuộc lĩnh vực sư phạm ngữ văn, phù hợp cho sinh viên và người nghiên cứu.","thế, Ngữ, XX., trường, phái",Lý luận Văn học,"Văn học, Sư phạm Ngữ văn"
D031,Toán sơ cấp dành cho giáo viên,"Tổng hợp kiến thức toán phổ thông và phương pháp sư phạm. Tài liệu thuộc lĩnh vực sư phạm toán, phù hợp cho sinh viên và người nghiên cứu.","toán, Toán, thông, Sư, viên",Toán Sơ cấp,"Toán học, Sư phạm Toán học"
D032,Đại số Tuyến tính,"Giới thiệu không gian vector, ma trận và các phép biến đổi tuyến tính. Tài liệu thuộc lĩnh vực sư phạm toán, phù hợp cho sinh viên và người nghiên cứu.","đổi, gian, tuyến, biến, không",Đại số Tuyến tính,"Toán học, Sư phạm Toán học, Công nghệ thông tin, Kỹ thuật"
D033,Giải tích Hàm một biến,"Trình bày các khái niệm giới hạn, đạo hàm và tích phân trong giải tích. Tài liệu thuộc lĩnh vực sư phạm toán, phù hợp cho sinh viên và người nghiên cứu.","khái, phạm, Hàm, và, một",Giải tích Hàm một biến,"Toán học, Sư phạm Toán học, Công nghệ thông tin, Kỹ thuật"
D034,Lý thuyết Xác suất Ứng dụng,"Cung cấp nền tảng xác suất cho giáo dục và nghiên cứu thống kê. Tài liệu thuộc lĩnh vực sư phạm toán, phù hợp cho sinh viên và người nghiên cứu.","cứu, cấp, cho, nghiên, nền",Lý thuyết Xác suất,"Toán học, Sư phạm Toán học, Thống kê, Khoa học dữ liệu"
D035,Ngôn ngữ học Đại cương,"Giới thiệu ngôn ngữ học, các cấp độ phân tích và chức năng ngôn ngữ. Tài liệu thuộc lĩnh vực sư phạm ngữ văn, phù hợp cho sinh viên và người nghiên cứu.","và, năng, thiệu, ngôn, Đại",Ngôn ngữ học Đại cương,"Ngôn ngữ học, Sư phạm Ngữ văn, Ngoại ngữ"
D036,Phong cách học và Tu từ học,"Khám phá nghệ thuật sử dụng ngôn ngữ trong văn chương và đời sống. Tài liệu thuộc lĩnh vực sư phạm ngữ văn, phù hợp cho sinh viên và người nghiên cứu.","Ngữ, chương, Tu, Sư, học",Phong cách học và Tu từ học,"Sư phạm Ngữ văn, Ngôn ngữ học, Văn học"
D037,Phân tích Tài chính Doanh nghiệp,"Đánh giá hiệu quả tài chính qua báo cáo tài chính và chỉ số. Tài liệu thuộc lĩnh vực kinh tế, phù hợp cho sinh viên và người nghiên cứu.","hiệu, tế, cáo, Phân, chính",Phân tích Tài chính Doanh nghiệp,"Tài chính Ngân hàng, Kế toán, Kiểm toán, Quản trị Kinh doanh, Kinh tế"
D038,Giao tiếp Tiếng Trung Cơ bản,"Cung cấp mẫu câu giao tiếp cơ bản trong đời sống thường ngày. Tài liệu thuộc lĩnh vực ngoại ngữ, phù hợp cho sinh viên và người nghiên cứu.","giao, cơ, tiếp, ngày., đời",Giao tiếp Tiếng Trung,"Ngoại ngữ, Tiếng Trung"
D039,Phân tích Tài chính Doanh nghiệp,"Đánh giá hiệu quả tài chính qua báo cáo tài chính và chỉ số. Tài liệu thuộc lĩnh vực kinh tế, phù hợp cho sinh viên và người nghiên cứu.","tài, giá, chính, qua, hiệu",Phân tích Tài chính Doanh nghiệp,"Tài chính Ngân hàng, Kế toán, Kiểm toán, Quản trị Kinh doanh, Kinh tế"
D040,Luật Kinh doanh Căn bản,"Giới thiệu luật doanh nghiệp, hợp đồng thương mại và thuế. Tài liệu thuộc lĩnh vực luật, phù hợp cho sinh viên và người nghiên cứu.","hợp, thiệu, Luật, thương, luật",Luật Kinh doanh,"Luật, Quản trị Kinh doanh, Kinh tế"
D041,Phong cách học và Tu từ học,"Khám phá nghệ thuật sử dụng ngôn ngữ trong văn chương và đời sống. Tài liệu thuộc lĩnh vực sư phạm ngữ văn, phù hợp cho sinh viên và người nghiên cứu.","ngôn, phạm, Sư, từ, Phong",Phong cách học và Tu từ học,"Sư phạm Ngữ văn, Ngôn ngữ học, Văn học"
D042,Phân tích Văn học Việt Nam,"Nghiên cứu các tác phẩm tiêu biểu trong văn học hiện đại và trung đại. Tài liệu thuộc lĩnh vực sư phạm ngữ văn, phù hợp cho sinh viên và người nghiên cứu.","tiêu, hiện, Nam, các, Sư",Phân tích Văn học Việt Nam,"Văn học, Sư phạm Ngữ văn"
D043,Vật lý Cơ sở,"Trình bày các định luật cơ bản về chuyển động và năng lượng. Tài liệu thuộc lĩnh vực khoa học tự nhiên, phù hợp cho sinh viên và người nghiên cứu.","lượng., Khoa, năng, Vật, bày",Vật lý Cơ sở,"Khoa học tự nhiên, Sư phạm Vật lý, Kỹ thuật"
D044,Ngữ pháp Tiếng Nhật Sơ cấp,"Giới thiệu cấu trúc ngữ pháp nền tảng trong tiếng Nhật. Tài liệu thuộc lĩnh vực ngoại ngữ, phù hợp cho sinh viên và người nghiên cứu.","tảng, Ngoại, Tiếng, Sơ, Nhật.",Ngữ pháp Tiếng Nhật,"Ngoại ngữ, Tiếng Nhật"
D045,Ngôn ngữ học Đại cương,"Giới thiệu ngôn ngữ học, các cấp độ phân tích và chức năng ngôn ngữ. Tài liệu thuộc lĩnh vực sư phạm ngữ văn, phù hợp cho sinh viên và người nghiên cứu.","thiệu, tích, ngữ, Ngôn, độ",Ngôn ngữ học Đại cương,"Ngôn ngữ học, Sư phạm Ngữ văn, Ngoại ngữ"
D046,Toán sơ cấp dành cho giáo viên,"Tổng hợp kiến thức toán phổ thông và phương pháp sư phạm. Tài liệu thuộc lĩnh vực sư phạm toán, phù hợp cho sinh viên và người nghiên cứu.","phổ, hợp, cho, toán, phạm.",Toán Sơ cấp,"Toán học, Sư phạm Toán học"
D047,Phân tích Dữ liệu với Pandas,"Hướng dẫn sử dụng thư viện Pandas để xử lý và phân tích dữ liệu. Tài liệu thuộc lĩnh vực công nghệ thông tin, phù hợp cho sinh viên và người nghiên cứu.","dẫn, lý, với, viện, xử",Phân tích Dữ liệu,"Công nghệ thông tin, Khoa học dữ liệu, Toán học"
D048,Hóa học Đại cương,"Giới thiệu cấu trúc nguyên tử, liên kết hóa học và phản ứng cơ bản. Tài liệu thuộc lĩnh vực khoa học tự nhiên, phù hợp cho sinh viên và người nghiên cứu.","thiệu, nhiên, phản, Khoa, hóa",Hóa học Đại cương,"Khoa học tự nhiên, Sư phạm Hóa học, Công nghệ Vật liệu, Môi trường"
D049,Khoa học Môi trường Nhập môn,"Tìm hiểu các vấn đề môi trường và giải pháp bền vững. Tài liệu thuộc lĩnh vực khoa học tự nhiên, phù hợp cho sinh viên và người nghiên cứu.","môn, trường, đề, Khoa, các",Khoa học Môi trường,"Khoa học tự nhiên, Môi trường"
D050,Nguyên lý Kế toán,"Trang bị kiến thức kế toán cơ bản cho sinh viên ngành kinh tế. Tài liệu thuộc lĩnh vực kinh tế, phù hợp cho sinh viên và người nghiên cứu.","ngành, cơ, kiến, lý, sinh",Nguyên lý Kế toán,"Kế toán, Kiểm toán, Tài chính Ngân hàng, Quản trị Kinh doanh, Kinh tế"
D051,Vật lý Cơ sở,"Trình bày các định luật cơ bản về chuyển động và năng lượng. Tài liệu thuộc lĩnh vực khoa học tự nhiên, phù hợp cho sinh viên và người nghiên cứu.","cơ, Khoa, và, định, Vật",Vật lý Cơ sở,"Khoa học tự nhiên, Sư phạm Vật lý, Kỹ thuật"
D052,Giải tích Hàm một biến,"Trình bày các khái niệm giới hạn, đạo hàm và tích phân trong giải tích. Tài liệu thuộc lĩnh vực sư phạm toán, phù hợp cho sinh viên và người nghiên cứu.","tích., đạo, phân, các, giới",Giải tích Hàm một biến,"Toán học, Sư phạm Toán học, Công nghệ thông tin, Kỹ thuật"
D053,Lý thuyết Xác suất Ứng dụng,"Cung cấp nền tảng xác suất cho giáo dục và nghiên cứu thống kê. Tài liệu thuộc lĩnh vực sư phạm toán, phù hợp cho sinh viên và người nghiên cứu.","cứu, cấp, cho, nghiên, nền",Lý thuyết Xác suất,"Toán học, Sư phạm Toán học, Thống kê, Khoa học dữ liệu"
D054,Phân tích Văn học Việt Nam,"Nghiên cứu các tác phẩm tiêu biểu trong văn học hiện đại và trung đại. Tài liệu thuộc lĩnh vực sư phạm ngữ văn, phù hợp cho sinh viên và người nghiên cứu.","cứu, Nghiên, Nam, Ngữ, và",Phân tích Văn học Việt Nam,"Văn học, Sư phạm Ngữ văn"
D055,Giải tích Hàm một biến,"Trình bày các khái niệm giới hạn, đạo hàm và tích phân trong giải tích. Tài liệu thuộc lĩnh vực sư phạm toán, phù hợp cho sinh viên và người nghiên cứu.","Hàm, phạm, trong, Sư, niệm",Giải tích Hàm một biến,"Toán học, Sư phạm Toán học, Công nghệ thông tin, Kỹ thuật"
D056,Lý thuyết Xác suất Ứng dụng,"Cung cấp nền tảng xác suất cho giáo dục và nghiên cứu thống kê. Tài liệu thuộc lĩnh vực sư phạm toán, phù hợp cho sinh viên và người nghiên cứu.","thuyết, Xác, cứu, xác, tảng",Lý thuyết Xác suất,"Toán học, Sư phạm Toán học, Thống kê, Khoa học dữ liệu"
D057,Luật Dân sự Việt Nam,"Trình bày quy định về quyền sở hữu, hợp đồng và trách nhiệm dân sự. Tài liệu thuộc lĩnh vực luật, phù hợp cho sinh viên và người nghiên cứu.","hợp, sự., sở, về, Trình",Luật Dân sự,"Luật"
D058,Giải tích Hàm một biến,"Trình bày các khái niệm giới hạn, đạo hàm và tích phân trong giải tích. Tài liệu thuộc lĩnh vực sư phạm toán, phù hợp cho sinh viên và người nghiên cứu.","các, hàm, Giải, khái, đạo",Giải tích Hàm một biến,"Toán học, Sư phạm Toán học, Công nghệ thông tin, Kỹ thuật"
D059,Sinh học Phân tử,"Khám phá cấu trúc ADN, ARN và cơ chế điều khiển tế bào. Tài liệu thuộc lĩnh vực khoa học tự nhiên, phù hợp cho sinh viên và người nghiên cứu.","phá, Khoa, học, tử, cấu",Sinh học Phân tử,"Khoa học tự nhiên, Sư phạm Sinh học, Công nghệ Sinh học"
D060,Ngữ âm và Phát âm,"Hướng dẫn cách phát âm chuẩn theo hệ thống phiên âm quốc tế. Tài liệu thuộc lĩnh vực ngoại ngữ, phù hợp cho sinh viên và người nghiên cứu.","tế., Ngữ, âm, phát, chuẩn",Ngữ âm và Phát âm,"Ngoại ngữ, Sư phạm Ngữ văn, Ngôn ngữ học"
D061,Lý thuyết Xác suất Ứng dụng,"Cung cấp nền tảng xác suất cho giáo dục và nghiên cứu thống kê. Tài liệu thuộc lĩnh vực sư phạm toán, phù hợp cho sinh viên và người nghiên cứu.","Ứng, thuyết, cấp, Toán, giáo",Lý thuyết Xác suất,"Toán học, Sư phạm Toán học, Thống kê, Khoa học dữ liệu"
D062,Luật Kinh doanh Căn bản,"Giới thiệu luật doanh nghiệp, hợp đồng thương mại và thuế. Tài liệu thuộc lĩnh vực luật, phù hợp cho sinh viên và người nghiên cứu.","mại, Luật, Giới, đồng, luật",Luật Kinh doanh,"Luật, Quản trị Kinh doanh, Kinh tế"
D063,Luật Dân sự Việt Nam,"Trình bày quy định về quyền sở hữu, hợp đồng và trách nhiệm dân sự. Tài liệu thuộc lĩnh vực luật, phù hợp cho sinh viên và người nghiên cứu.","đồng, quyền, sự., hữu,, Luật",Luật Dân sự,"Luật"
D064,Nhập môn Lập trình Python,"Giới thiệu cơ bản về ngôn ngữ Python và cách áp dụng trong thực tiễn. Tài liệu thuộc lĩnh vực công nghệ thông tin, phù hợp cho sinh viên và người nghiên cứu.","dụng, Giới, cách, Công, trình",Lập trình Python,"Công nghệ thông tin, Khoa học dữ liệu, Kỹ thuật phần mềm"
D065,Sinh học Phân tử,"Khám phá cấu trúc ADN, ARN và cơ chế điều khiển tế bào. Tài liệu thuộc lĩnh vực khoa học tự nhiên, phù hợp cho sinh viên và người nghiên cứu.","học, và, tử, bào., Khoa",Sinh học Phân tử,"Khoa học tự nhiên, Sư phạm Sinh học, Công nghệ Sinh học"
D066,Luật Kinh doanh Căn bản,"Giới thiệu luật doanh nghiệp, hợp đồng thương mại và thuế. Tài liệu thuộc lĩnh vực luật, phù hợp cho sinh viên và người nghiên cứu.","thương, và, Luật, thuế., Giới",Luật Kinh doanh,"Luật, Quản trị Kinh doanh, Kinh tế"
D067,Tư pháp Hình sự,"Khám phá quy trình tố tụng hình sự và vai trò của các cơ quan tư pháp. Tài liệu thuộc lĩnh vực luật, phù hợp cho sinh viên và người nghiên cứu.","quy, các, Hình, tố, trò",Tư pháp Hình sự,"Luật"
D068,Giải tích Hàm một biến,"Trình bày các khái niệm giới hạn, đạo hàm và tích phân trong giải tích. Tài liệu thuộc lĩnh vực sư phạm toán, phù hợp cho sinh viên và người nghiên cứu.","khái, và, một, Sư, tích.",Giải tích Hàm một biến,"Toán học, Sư phạm Toán học, Công nghệ thông tin, Kỹ thuật"
D069,Kinh tế Vi mô Căn bản,"Phân tích hành vi tiêu dùng, sản xuất và cấu trúc thị trường. Tài liệu thuộc lĩnh vực kinh tế, phù hợp cho sinh viên và người nghiên cứu.","hành, vi, tế, bản, Kinh",Kinh tế Vi mô,"Kinh tế, Quản trị Kinh doanh, Tài chính Ngân hàng, Marketing"
D070,Khoa học Môi trường Nhập môn,"Tìm hiểu các vấn đề môi trường và giải pháp bền vững. Tài liệu thuộc lĩnh vực khoa học tự nhiên, phù hợp cho sinh viên và người nghiên cứu.","Nhập, trường, pháp, học, bền",Khoa học Môi trường,"Khoa học tự nhiên, Môi trường"
D071,Luật Kinh doanh Căn bản,"Giới thiệu luật doanh nghiệp, hợp đồng thương mại và thuế. Tài liệu thuộc lĩnh vực luật, phù hợp cho sinh viên và người nghiên cứu.","Giới, bản, Căn, luật, Kinh",Luật Kinh doanh,"Luật, Quản trị Kinh doanh, Kinh tế"
D072,Phân tích Văn học Việt Nam,"Nghiên cứu các tác phẩm tiêu biểu trong văn học hiện đại và trung đại. Tài liệu thuộc lĩnh vực sư phạm ngữ văn, phù hợp cho sinh viên và người nghiên cứu.","văn, học, Nghiên, hiện, phạm",Phân tích Văn học Việt Nam,"Văn học, Sư phạm Ngữ văn"
D073,Kinh tế học Hành vi,"Nghiên cứu cách ra quyết định trong bối cảnh phi lý trí. Tài liệu thuộc lĩnh vực kinh tế, phù hợp cho sinh viên và người nghiên cứu.","quyết, phi, Nghiên, Hành, bối",Kinh tế học Hành vi,"Kinh tế, Quản trị Kinh doanh, Marketing, Tâm lý học"
D074,Tiếng Anh Học thuật,"Rèn luyện kỹ năng đọc - viết tiếng Anh trong môi trường học thuật. Tài liệu thuộc lĩnh vực ngoại ngữ, phù hợp cho sinh viên và người nghiên cứu.","Học, Tiếng, trường, luyện, kỹ",Tiếng Anh Học thuật,"Ngoại ngữ, Tiếng Anh"
D075,Tiếng Anh Học thuật,"Rèn luyện kỹ năng đọc - viết tiếng Anh trong môi trường học thuật. Tài liệu thuộc lĩnh vực ngoại ngữ, phù hợp cho sinh viên và người nghiên cứu.","Rèn, Học, thuật., viết, -",Tiếng Anh Học thuật,"Ngoại ngữ, Tiếng Anh"
D076,Trí tuệ Nhân tạo Cơ bản,"Tổng quan về AI, bao gồm Machine Learning, Deep Learning và các ứng dụng thực tiễn. Tài liệu thuộc lĩnh vực công nghệ thông tin, phù hợp cho sinh viên và người nghiên cứu.","nghệ, thực, Learning, gồm, Công",Trí tuệ Nhân tạo,"Công nghệ thông tin, Khoa học dữ liệu, Kỹ thuật máy tính, Toán học"
D077,Giải tích Hàm một biến,"Trình bày các khái niệm giới hạn, đạo hàm và tích phân trong giải tích. Tài liệu thuộc lĩnh vực sư phạm toán, phù hợp cho sinh viên và người nghiên cứu.","Toán, đạo, một, tích, hạn,",Giải tích Hàm một biến,"Toán học, Sư phạm Toán học, Công nghệ thông tin, Kỹ thuật"
D078,Nhập môn Lập trình Python,"Giới thiệu cơ bản về ngôn ngữ Python và cách áp dụng trong thực tiễn. Tài liệu thuộc lĩnh vực công nghệ thông tin, phù hợp cho sinh viên và người nghiên cứu.","về, tiễn., Công, cách, cơ",Lập trình Python,"Công nghệ thông tin, Khoa học dữ liệu, Kỹ thuật phần mềm"
D079,Luật Kinh doanh Căn bản,"Giới thiệu luật doanh nghiệp, hợp đồng thương mại và thuế. Tài liệu thuộc lĩnh vực luật, phù hợp cho sinh viên và người nghiên cứu.","mại, bản, Căn, luật, thuế.",Luật Kinh doanh,"Luật, Quản trị Kinh doanh, Kinh tế"
D080,Tiếng Anh Học thuật,"Rèn luyện kỹ năng đọc - viết tiếng Anh trong môi trường học thuật. Tài liệu thuộc lĩnh vực ngoại ngữ, phù hợp cho sinh viên và người nghiên cứu.","học, thuật., viết, trường, Anh",Tiếng Anh Học thuật,"Ngoại ngữ, Tiếng Anh"
D081,Cấu trúc Dữ liệu và Giải thuật,"Trình bày các cấu trúc dữ liệu phổ biến và thuật toán xử lý hiệu quả. Tài liệu thuộc lĩnh vực công nghệ thông tin, phù hợp cho sinh viên và người nghiên cứu.","quả., Cấu, nghệ, biến, Dữ",Cấu trúc Dữ liệu và Giải thuật,"Công nghệ thông tin, Khoa học dữ liệu, Kỹ thuật phần mềm, Toán học"
D082,Tiếng Anh Học thuật,"Rèn luyện kỹ năng đọc - viết tiếng Anh trong môi trường học thuật. Tài liệu thuộc lĩnh vực ngoại ngữ, phù hợp cho sinh viên và người nghiên cứu.","Học, thuật, đọc, trong, luyện",Tiếng Anh Học thuật,"Ngoại ngữ, Tiếng Anh"
D083,Nhập môn Lập trình Python,"Giới thiệu cơ bản về ngôn ngữ Python và cách áp dụng trong thực tiễn. Tài liệu thuộc lĩnh vực công nghệ thông tin, phù hợp cho sinh viên và người nghiên cứu.","Giới, bản, Lập, ngôn, thiệu",Lập trình Python,"Công nghệ thông tin, Khoa học dữ liệu, Kỹ thuật phần mềm"
D084,Phân tích Tài chính Doanh nghiệp,"Đánh giá hiệu quả tài chính qua báo cáo tài chính và chỉ số. Tài liệu thuộc lĩnh vực kinh tế, phù hợp cho sinh viên và người nghiên cứu.","Doanh, giá, Phân, chính, Đánh",Phân tích Tài chính Doanh nghiệp,"Tài chính Ngân hàng, Kế toán, Kiểm toán, Quản trị Kinh doanh, Kinh tế"
